Date,Groups,Info,Location,Time,Type
5/11/2022,Animal Control Commission,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3304,"201 N. ""E"" Street   San Bernardino, CA  92401",4:00 PM,Regular Meeting
5/10/2022,Planning Commission,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3292,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",6:00 PM,Regular Meeting
5/11/2022,Development Environmental Review Committee,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3296,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",10:00 AM,Regular Meeting
5/9/2022,Public Safety and Human Relations Commission,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3347,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",6:00 PM,Regular
5/10/2022,Library Board,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3348,"Feldheym Central Library   555 West 6th Street   San Bernardino, CA  92410",3:00 PM,Regular Meeting
5/5/2022,Charter Review Committee,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3341,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",6:00 PM,Regular Meeting
5/2/2022,Measure S Citizens Oversight Committee,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3334,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",5:30 PM,Regular
4/27/2022,Downtown Advisory Committee,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3330,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",6:00 PM,Regular Meeting
4/26/2022,Mayor and City Council of the City of San Bernardino,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3342,"Feldheym Central Library   555 West 6th Street   San Bernardino, CA  92410",5:30 PM,Special Meeting
4/27/2022,Development Environmental Review Committee,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3295,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",10:00 AM,Regular Meeting
4/21/2022,"Parks, Recreation & Community Services Commission",http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3331,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",4:00 PM,Regular Meeting
4/20/2022,Mayor and City Council of the City of San Bernardino,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3235,"Feldheym Central Library   555 West 6th Street   San Bernardino, CA  92410",5:30 PM,Regular Meeting
4/21/2022,Administrative Civil Penalty (ACP) Hearings,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3340,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",10:00 AM,Hearing
4/18/2022,Arts and Historical Preservation Commission,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3332,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",4:00 PM,Regular Meeting
4/13/2022,Animal Control Commission,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3303,"201 N. ""E"" Street   San Bernardino, CA  92401",4:00 PM,Regular Meeting
